title,datetime,raw_txt
Chargesheet filed in minor’s rape & murder,2018-07-13T12:11:21+05:30,"SURAT: The Surat crime branch on Thursday filed a 546-page chargesheet in the case of sexual assault and   of a 11-year-old girl, whose body was found in bushes in Pandesara area in April this year with 86 injury marks,  

 Body of the minor girl, a native of  , was found from Pandesara police station limits on April 6. Postmortem report revealed that some blunt object was inserted into her her private causing serious injuries. Three days later body of the girl’s mother was found from around the same place where the minor girl’s body was dumped.
 
 The crime branch officials, investigating the case, will submit separate chargesheet in case of the girl’s murder later, sources said. After being clueless about the perpetrator of the heinous crime, Ahmedabad crime branch finally got a break through after it caught hold of CCTV footage after 15 days. Based on the information, cops arrested Harsahay Gujjar on April 21 and his cousin Hariom Gujjar a couple of days later. Both are currently lodged in Lajpore Central Jail. Harsahay had allegedly bought the mother-daughter duo for Rs 35,000 and brought them to Surat to work as bonded labourers in his marble fitting contracts business. He brutalized the girl and allegedly raped her, before killing her and dumping her body close to the same spot on April 5 night. It was further revealed that Harsahay, a pervert sex maniac, raped the girl’s mother woman several times in his house and later murdered her had disposed of the body near by.
 
 According to crime branch officials, the chargesheet includes statements of 146 witnesses, of which 10 are eyewitness. Police has also stated that statements of 10 witnesses were recorded under Section 164 of Criminal Procedure Code (CrPC) in presence of a magistrate. 
 
 Harsahay and Hariom were charged under various sections of the IPC and Protection of Children from Sexual Offences (Pocso) for murder and sexual assault. Along with the chargesheet, police submitted various evidences like DNA comparison report, forensic reports, details on injuries marks on deceased girl’s body and private part. Besides the CCTV footages based on which the investigation was done, police also submitted other technical evidences.
 
 
"
Teen rape survivor can abort 21-week foetus: Bombay HC,2018-07-14T04:50:13+05:30,"MUMBAI: The   on Friday allowed a 16-year-old, who was allegedly raped, to terminate her 21-week pregnancy. The girl had approached the court through her mother as the law permits termination only till 12 weeks' gestation in a regular course as a choice and from then on, till 20 weeks in certain medically necessary cases. 

 
 The woman's case was that the daughter told her of a missed period and on July 4, a doctor's evaluation revealed she was five months pregnant. On July 6, she lodged a rape complaint. However, when she desired to get the pregnancy terminated, she met with a legal impediment under the law, states her petition filed through advocate Kranti LC.
 
 A bench of Justices Naresh Patil and Girish Kulkarni on Thursday set up a committee of doctors from KEM, a civic hospital, to assess the girl and recommend whether a termination is advisable. Civic counsel R Thorat and J Xavier submitted the doctors' report and a doctor from KEM hospital too was present in the court. When asked by the bench on Friday if termination is possible, she said yes, but since it was beyond 20 weeks, it is called ""induction of labour"".
 
 The girl had been admitted to another civic hospital and the court has directed that she be discharged and shifted forthwith to KEM, where necessary steps can be taken for the termination. The   bench was appreciative of the KEM report, which analysed the chances and risks the procedure would pose and the counselling needed for the teen.
 
 
"
Gujarat BJP vice-president quits over rape charge,2018-07-14T02:57:35+05:30,"SURAT:   vice-president and former Kutch MLA,   resigned from all party posts after a 21-year-old woman in Surat accused him of raping her several times on the pretext of getting her admission to a fashion designing course.

 
 Bhanushali, who represented Abdasa assembly constituency from 2007 to 2012, wrote to state BJP president Jitu Vaghani stating he was resigning from all posts till he gets a clean chit. Sources, however, said Vaghani had asked him to quit after the news of accusations against him gained steam on Friday.
 
 The woman submitted her complaint on Tuesday to Surat police commissioner Satish Sharma and Varachha police station. She demanded police protection as she feared for her and her family’s lives.
 
 The woman’s relative introduced her to Bhanushali (57) after she expressed her desire to study fashion designing in Ahmedabad. In November 2017, Bhanushali called her to Ahmedabad with her certificates. She was made to sit in a car and allegedly raped in a field on way to Gandhinagar. According to her complaint, Bhanushali had a knife and his associate had a gun. One person also made a video of the act, she alleged.
 
 
"
"Chhattisgarh panchayat fines rape accused Rs 30,000; uses it for mutton party",2018-07-11T09:24:50+05:30,"RAIPUR: A   in Chhattisgarh's tribal Jashpur district forced parents of three raped girls - two of whom are minor siblings - into a ""compromise"" with the accused on July 5, and then feasted with the money the trio coughed up to bury the cases. 

 
  The panchayat fined the three accused Rs 10,000 each, invited the entire village to a meat feast and distributed the rest of the money equally among 45 people of the community on Sunday. Justice done, they declared. 
 
  The families of the raped girls were far from satisfied. One of them went to the media. Jashpur   Uneza Khatoon Ansari said no one had filed a complaint and they came to know of it from journalists. A police team has been sent to the village, which is in a remote part of Jashpur. 
 
  Sources told TOI that the families of the three girls went looking for them when they didn't return home till evening on July 5. By then, a village youth had come across the shocking sight of them being raped by three men. He challenged them and forced them to flee. 
 
  The parents took the girls home and were heading to the police station when they were called to a meeting by community heads. The father of the raped sisters insisted he would file an FIR. But this upset the panchayat, which allegedly forced him to drop the idea and arranged a ""compromise"". 
 
  As if this wasn't humiliation enough, the girls' families were shocked to know that the panchayat had organised a grand feast with the ""fine money"" and invited the villagers to a ""mutton party"". 
 
 The father of one of the survivors said 45 persons got Rs 485 each from the ""compromise"" money. ""Is my daughter's   worth that much, or any amount of money,"" he asked. 
 
  Sarpanch Narayan Bhagat defended himself, saying that the girls and boys were found in a ""compromising situation"" and apologised for their ""mistake"". ""The girls' families called the meeting and willingly agreed to the compromise,"" he claimed. The families deny this. 
 
 
"
Rape survivor records statement before magistrate,2018-07-14T08:15:09+05:30,"AHMEDABAD: The minor girl, who was allegedly raped on Thursday by two men after she was left by her friend at Sherisha canal in Gandhinagar, recorded her statement on Friday before a magistrate and narrated her ordeal.

 The 17-year-old girl stuck to the contents, which she mentioned in the FIR before the Santej police, in her statement before the magistrate under Section 164 of the CrPC on Friday, said DySP of Gandhinagar,  .
 
 Police sources also said that when the three boys in pretext of helping her took the girl to a secluded place, two other boys had objected to it. But they were overpowered by the three who later raped her.
 
 “When the three boys started misbehaving with the girl at the canal, two other boys who were with the accused, objected to it saying that she was like their sister. But the trio started fighting with them and made them leave the place. After which, two of the accused raped the girl. The two persons who tried to save the girl have now become prosecution witness,” said a police official.
 
 Police had on Thursday booked the survivor’s friend Vipul Thakor and the three others – Arvind Melaji Thakor, Baldev Ramanji Thakor and a minor — under the charges of gang rape and abetment.
 
 The three accused were sent on four-day police remand on Friday.
 
 
"
Women raped before & after murder,2018-07-14T05:26:22+05:30,"DIBRUGARH: Two criminals arrested by the special investigation team of the   Police in connection with the murders of two women inside train toilets on successive days have confessed to their crimes. 

 
  On July 10, a 19-year-old girl was found murdered in one of the toilets of the   at  . Barely 30 hours later, another woman was found murdered in a toilet of Avadh Assam Express at Mariani junction. 
 
  Upon interrogation, it has come to light that the two victims were raped by the duo before being killed. Prime accused Bikash Das was arrested by an RPF constable from a platform of Tinsukia   on Thursday. The second accused   was nabbed from Dibrugarh railway station on Friday. Pandey has told the police that he indulged in sex with the corpses of the victims. 
 
 
"
Cops book scrap dealer for raping minor daughter,2018-07-14T06:26:11+05:30,"PUNE: The MIDC Bhosari police on Thursday registered an offence against a 35-year-old   for repeatedly raping his daughter (14) over the past few months.

 
 The sexual assault came to light recently when the girl told her neighbour. The woman accompanied the girl’s mother as a police complaint was lodged. 
 
 The suspect has been charged under section 376 ( ), 506 (criminal intimidation) of the Indian Penal Code and relevant sections of the Protection of Children from the Sexual Offences ( ) Act.
 
 According to the police, the suspect would rape his daughter while the rest of their family slept. “The man threatened to kill the girl if she told her mother,” a police officer said. 
 
 The sexual assault continued over several months before the girl told her neighbour. “We have yet to arrest the suspect,” the officer said.
 
 POCSO slapped on man
 
 The Yerawada police on Thursday booked a man for sexually harassing his 15-year-old neighbour on Thursday afternoon, when she was on her way home. 
 
 Her mother, who lodged a police complaint, stated the suspect stopped the girl and touched her inappropriately. He has been booked under relevant sections of IPC and POCSO.
 
 
"
J&K govt acts against 2010 IAS topper over rape tweet,2018-07-11T06:41:37+05:30,"SRINAGAR: The   government on Tuesday initiated disciplinary action against the 2010-batch   (IAS) topper   for his tweet about frequent rapes.

 
 Faesal had posted a tweet saying, ""Population +patriarchy +illiteracy +alcohol +porn +technology +anarchy = rapistan"".
 
 In a notice to Faesal, who is currently pursuing a mid-career masters programme in the US, the General Administration Department said, ""You have allegedly failed to maintain absolute honesty and integrity in the discharge of official duty and thus acted in a manner unbecoming of a public servant. ""
 
 ""The Centre's Department of Personnel and Training has requested the state government to initiate an action against you,"" the notice added.
 
 Reacting to J&K government's move, the IAS officer tweeted, ""Love letter from my boss for my sarcastic tweet against rape-culture in South Asia. The Irony here is that service rules with a colonial spirit are invoked in a democratic India to stifle the freedom of conscience. I'm sharing this to underscore the need for a rule change.""
 
  
  
 Former chief minister of Jammu and Kashmir   objected to the action against Faesal and said the DoPT seemed to be determined to chase the bureaucrat out of civil service.
 
  ""Looks like DOPT is determined to chase Shah Faesal out of the civil services. The last line of this page is shocking and unacceptable where they question Faesal’s ""integrity & honesty"". How is a sarcastic tweet dishonest? How does it make him corrupt?"" the National Conference leader tweeted.
 
  
  
 
"
"13-yr-old foils rape bid in school toilet, 2 held",2018-07-11T09:47:15+05:30,"BAREILLY: A 13-year-old girl who went to use the   got the shock of her life when she saw a hand with a mobile camera sticking out over the gap between the door and ceiling. The frightened girl opened the door to find two locals outside. Before she could react, one of the men allegedly forced his way in and tried to   her. However, she managed to free herself and ran home, which is about 500 metres from her school.

 
 The incident happened on Tuesday morning in Visharatganj, 30 km from   city. The accused, both brothers, have been arrested and sent to jail, police said. An FIR has been registered against them on the basis of a complaint lodged by the girl’s parents.
 
 Station house officer of Visharatganj police station Uday Veer Singh said the accused run a clinic in the area on the road that leads to the girl’s school. “The accused have been identified as Uday Veer, 22, and Prakash Veer, 25. The latter runs a clinic which is located some yards from the school where the girl studies. In their complaint, the victim’s parents said the accused often passed lewd comments on their daughter when she passed their shop on way to school,” the SHO said.
 
 According to the girl, on Tuesday morning, when she went to the toilet in school, she was not aware that the duo was hiding nearby. The toilet is situated away from the classrooms. The duo apparently jumped over the low boundary wall of the school to enter the premises. They allegedly started clicking photographs from the space between the toilet door and ceiling. When the girl opened the door, one of them entered the toilet and tried to rape her. However, she managed escape and ran towards her house.
 
 Meanwhile, the duo reached their shop and when the girl was on way home, they again tried to pull her inside their shop but she again managed to foil their bid, the girl’s parents alleged.
 
 Police said when they went to the school, both principal and staff said they were not aware of any such incident in the premises. 
 
 Singh told TOI, “To ascertain the girl’s age we have sent her for a medical examination. The accused have been sent to jail. We have booked them under IPC sections 354 (assault or criminal force to woman with intent to outrage her modesty) and 354 A (physical contact and advances involving unwelcome and explicit sexual overtures). More sections under POCSO Act will be added if the girl is found to be minor.”
 
 
"
4 booked for gang rape,2018-07-11T10:29:13+05:30,"PATIALA: The   have registered a   on the complaint of the husband of a 35-year-old rape survivor.

 
 The complainant, who hails from a village in the  , alleged that the accused had tied her arms and legs with the bed in her house and then gang-raped her.
 
 According to information, the survivor further told the police that all accused were her distant relatives.
 
 The incident took place on July 5 when the accused reached the house of the woman and finding her alone in the home, first assaulted her and then gang-raped her. The police have conducted medical examination of the survivor, and are awaiting report.
 
 After this, the rape survivor left her house and took shelter in her relatives’ house. The police said the husband and other family members claimed to have had gone out of station when the incident occurred.
 
 The brother-in-law of the rape survivor said, “We all had gone out of station for labour. The husband of survivor and myself returned three days after the incident. We searched for kids and the survivor but all in vain.
 
 “Later, we came to know that she was hiding in relatives’ home. The accused had threatened her with dire consequences if she revealed this to anyone. In past, these accused had landed in verbal arguments with the rape survivor and were angry over this. The woman had two daughters and a son and the trio had gone to sow the paddy.”
 
 The investigating officer revealed that no arrests had been made yet but the case had been registered under various sections of the IPC and further probe was on. He claimed that the accused were also labourers as the rape survivor and her family members.
 
 
"
Sri Lankan refugee gets life sentence for rape,2018-07-11T12:17:26+05:30,"TRICHY: A 32-year-old labourer was sentenced to life imprisonment by a fast track Mahila court in Karur on Tuesday, for raping a 38-year-old woman suffering from learning difficulties in November 2016. The woman and the accused were residing at a refugee camp located near Kulithalai in the  .

 
 According to the prosecution, the convict Jambulingam alias Rajkumar and the victim lived in the same area at a Srilankan refugee camp at Irumbuthiripatti village in Kulithalai taluk. The victim was alone at her house on November 3, 2016, when the accused allegedly tricked her and took her to his house, as his family were away for work.
 
 The incident came to light after the victim’s father lodged a complaint with all woman police in Kulithalai. Investigations confirmed the incidents and police inspector Malliga filed a case with the fast track Mahila Court in Karur.
 
 On hearing the case, Mahila Court Judge Sasikala pronounced Rajkumar guilty of raping the woman and sentenced him to life imprisonment on Tuesday. The judge also slapped a fine of Rs1,000 and stated that the accused should undergo rigorous imprisonment in prison until death, the prosecution said.
 
 
"
"Hearing-impaired teen gang-raped, murdered",2018-07-11T13:05:01+05:30,"MADURAI: In a shocking incident, an unidentified gang barged into the house of a   and brutally raped her before murdering the hapless teenager in Acharampatti village near Keezhachevalpatti in  , on Tuesday.

 
 Police said the accused fled the scene after leaving the body of the girl in the bush a few metres away from the house. The 19-year-old girl was alone when the assailants broke into her house, raped and murdered her.
 
 Spotting the body in the bush, villagers alerted her parents about the incident who then called the police. Based on a complaint, a case was registered under IPC Sections 376- rape and 302- punishment for  .
 
 Sivaganga district police formed three special teams led by deputy superintendent of police Ilangovan and launched a hunt for the guilty. Police said her parents could not come to her rescue as they away for work when the incident happened.
 
 Deputy inspector general of police,   range N Kamini and district superintendent of police T Jayachandran inspected the area. Police said that the gang might have three or four members and have attacked her after finding her alone in the house.
 
 As the girl is hearing impaired, the gang exploited her inability to raise alarm, police said. An FIR was registered with Keezhachevalpatti police station and a detailed inquiry is under way.
 
 Preliminary investigation found no injury to her head, leading to conclusion that that the gang might have used wooden log to beat her to death.
 
 In a similar incident, police have launched an investigation after a woman was found dead in a village in Madurai on Tuesday. She was found dead in a secluded place about 100m from Kottampatti-Udhinipatti village road.
 
 
"
