title,datetime,raw_txt
Heer Nagar rape survivor’s kin demand death sentence for accused,2018-09-06T13:03:22+05:30,"Indore: Enraged parents and relatives of a disabled girl, who was allegedly raped in Heera Nagar area, took out a   march to collectorate on Tuesday and demanded capital punishment for the  .

 “Heera Nagar police have registered a case against one   and have arrested him. But his supporters are threatening the girl’s family of dire consequences,” the protesters said.
 
 They also expressed that there was a need of providing better treatment to the survivor since she was yet to recuperate. “She was discharged from Bombay Hospital after a few days of treatment. But, she has neck infection. She should be provided treatment at a private hospital,” the girl’s family members said while protesting outside the collectorate.
 
 The collector assured the family members to provide all possible assistance for justice to the girl.
 
 “The court will decide fate of the accused. But we will ensure that police file challan within a month by putting it into the category of ‘heinous and sensational’ case, in the fast-track court to start the trial,” collector Nishant Warwade assured the family members.
 
 He also promised the family members to provide free medical check-up and treatment at Medanta Hospital.
 
 The collector has asked police officials to increase   in the area, where the girl’s family members live.
 
 “Instructions have been issued to increase number of cops at police outpost in the locality to ensure better law and order situation. Besides, a ‘dial-100’ will be stationed in the area on temporary basis. A constable has also been deployed at the survivor’s house to provide them security,” said Warwade adding that the administration and local police will provide all possible help and security to the survivor and her family members.
 
 The girl’s family had brought a cheque of Rs 10,000 issued by administration for returning it. But, after the collector promised them of providing all possible help in the case they took it with them.
 
 
"
"Furious about failed rape attempt, man kills infant in Chhattisgarh",2018-09-07T08:33:08+05:30,"RAIPUR: Furious that his attempt to rape a four-year-old girl failed after she bit him and escaped, a 30-year-old man got hold of her infant sister and strangled her to death in a village in Bilaspur. 

 
 The accused, Vijay Kumar Dhruv, is a relative of the owner of the brick kiln where the kids' parents work. On Wednesday, he saw the sisters, aged four and three, playing outside their home, with their grandfather watching over them. It was noon and the kids' parents were at work. Seeing an opportunity, Vijay allegedly offered liquor to the elderly man and the two got drunk. After the grandfather drifted off to sleep, Vijay approached the children and asked them to follow him, say police. They innocently went along. He took them deep into some dense bushes and suddenly tried to force himself on them, say police. According to the four-year-old's statement, Vijay touched them inappropriately and clamped his hand on her mouth when she started screaming for help.
 
 The girl bit Vijay's hand and ran away as soon as his grip loosened. She ran screaming all the way, alerting villagers. Police believe Vijay was furious when the elder girl ran away, so he grabbed the toddler and strangled her. Within minutes, the girl's parents and a crowd of villagers set out in search of Vijay and the toddler. A shepherd followed their tracks and led them to a clearing where Vijay was lying semi-conscious. He was so drunk than he collapsed, say sources. 
 
 A little distance away, in some bushes, they found the body of the little one. Villagers were furious and started beating Vijay mercilessly. Someone called police and they arrived just in time to save him from being killed. He is badly injured and was unconscious when taken into custody, say sources. 
 
 Bilaspur SP Arif Sheikh said that villagers beat up the accused before handing him to police. ""He suffered a rib fracture and is admitted to hospital,"" the SP said, adding that Vijay would be prosecuted under  . 
 
 
"
6 held for raping 14-year-old girl,2018-09-07T08:57:08+05:30,"CHANDIGARH: The   police has arrested six youths for allegedly raping a 14 -year-old girl after kidnapping her. The accused were booked and arrested in a case of kidnapping and under the Prevention of Children from Sexual Offences (POCSO) Act registered against them at Yamunanagar City police station.

 
 Four of the accused were held on Wednesday evening. On Thursday, they were produced in the court that remanded them to judicial custody. The other two were arrested on Thursday.
 
 According to information, the girl lived in a residential   of Yamunanagar with her family. The incident occurred on   when she had come out of her house to buy vegetables. Two of the accused approached her and asked her to accompany by saying that her father had met with an accident.
 
 Yamunanagar City station house officer (SHO) Narender Singh said the accused took her to a cyber café where they along with four others abused her. The accused also tried to slash her wrist before abandoning the girl near her house on the night intervening Tuesday and Wednesday.
 
 “The family reported the incident to the cops after which four accused were arrested on Wednesday. Meanwhile, the girl was medically examined and her counselling was done. Now we are interrogating the other two accused,” said the SHO.
 
"
Rape-accused doctor still out of police reach,2018-09-07T12:28:20+05:30,"SURAT: Prominent gynaecologist and IVF specialist Dr Praful Doshi, who has been accused of   by a married woman, continued to be on the run even as police began taking statements of his hospital’s employees.

 
 A police team also went to Dr Doshi’s house in Athwalines but he was not found there. Athwa police said that have recorded statements of nearly 22 staff members of his ‘Me and Mummy’ hospital who were present on Tuesday when the alleged crime happened. Footages of all   cameras installed in the hospital are also being checked to collect more evidence.
 
 Sources also said that the woman, who has lodged a complaint, had come to Dr Doshi for consultation six times in the recent past.
 
 Meanwhile , the top level officials said that they have not been able to trace the exact location of the doctor. 
 
 On Friday,. members of   (IMA) Surat chapter will meet police commissioner  . IMA members will urge police to investigate the case properly and avoid hasty decision to arrest the doctor that could tarnish his hard-earned reputation.
 
 On Wednesday, the woman, who was taking IVF treatment, had alleged that Dr Doshi raped her between 1.30 pm and 2.00 pm in his consulting room after threatening to kill her. 
 
 Meanwhile, Dr Doshi’s lawyers are considering approaching the courts for anticipatory bail. 
 
 
"
"J&K police arrest 5, including stepmother of slain nine-year-old Uri girl, for rape, murder",2018-09-04T23:10:23+05:30,"SRINAGAR: Police claimed on Tuesday they had solved what appeared to be Jammu and Kashmir’s most horrific crime — the  , murder and mutilation of a nine-year-old girl from  , Uri — and had arrested all the five accused, including the child’s stepmother, half-brother and their friends.

 
 Police said a combination of sustained interrogation and forensic and medical examinations led them to believe the girl had been gang-raped, strangled, struck with an axe, had her eyes gouged out and acid poured over her because, allegedly, her stepmother had been jealous that her husband lavished attention and love on his children from his second wife.
 
 According to the police spokesman, Boniyar police station had received a written complaint last week from the murdered girl’s father, of Trikanjan, Uri, that his daughter was missing and that he feared she may have been abducted. “On receipt of this complaint, a case under FIR No 43/2018, under RPC Section 363, was registered at police station Boniyar and investigation was taken up,” police said, adding that the girl could not be traced despite their best efforts.
 
 “During the course of investigation, the statement of the father of the girl was recorded and it was found that he has two wives, one from a local village, Trikanjan, and another, from Jharkhand. The missing girl was the daughter of the non-local mother. He also stated that the stepmother would mostly work outside the home, grazing goats in nearby fields, while the non-local wife would mostly stay at home to cook food, etc.,” police added.
 
 “On September 2, the missing girl’s decomposing body was found in a forest about a km from her home. Police teams, including Uri SDPO Mehrajudin Raina and Boniyar SHO Iqbal Ahmad, then accompanied the forensic and medical teams to the spot and examined the crime scene,” police said.
 
 Examination of the crime scene and circumstances thereof led to suspicions of murder and an investigation was begun in this direction, the police spokesman said. “A special investigation team (SIT) headed by the Uri SDPO was constituted to investigate the murder. Sustained questioning by the SIT of the stepmother of the murdered girl and other suspects revealed the bone-chilling account of the murder and rape of the nine-year-old child,” police claimed.
 
 Police alleged it was found that the stepmother had for long been jealous of her husband’s wife from Jharkhand and her children as she believed her husband was more affectionate towards his second wife and the children born of her than her (the stepmother) and her children.
 
 “During questioning, she also revealed that her husband would mostly spend time with his second wife and his (now deceased) daughter was dearest to him among all his children,” police claimed, adding that the acrimonious atmosphere, primarily caused by the father taking a second wife, had been worsening.
 
 “The stepmother hence hatched a conspiracy to eliminate her stepdaughter. Armed with a sharp knife, she took her stepdaughter to the nearby jungle. While she was on the way to the forest, she signalled her son (half-brother of the deceased), aged about 14 years, to be ready for the commission of the crime,” police claimed.
 
 The half-brother and two of his friends — Kaiser Ahmad (19), and another 14-year-old boy — later joined the stepmother in the forest. “One more accused, Naseer Ahmad Khan, alias Guddo, aged 28 years, also joined in the commission of the crime,” police claimed.
 
 “On reaching the spot, the girl was gang-raped by the accused in the presence of, and at the instance of, her stepmother. It was Kaiser who first raped her, and then the others, including her half-brother, took turns raping the girl,” police said.
 
 ""Thereafter the stepmother strangled the girl and her half-brother struck her on the head hit with an axe, killing her on the spot. After that, one of the accused, believed to be a minor, went home and brought back acid in a bottle from stock meant for the maintenance of vehicle batteries.
 
 “Kaiser gouged out her eyes with a sharp knife and then acid was sprinkled on her body. Physical condition and preliminary forensic analysis of the body substantiate all these facts. Finally, Kaiser and Naseer dumped the body in the bushes and covered it with twigs and branches from pine trees,” police alleged.
 
 Police added that all the material and weapons of offence, including the axe and knife, had been recovered at the instance of the accused. “Also, the plastic can containing the acid has been recovered. All the accused have been arrested. The case will be soon be charge-sheeted for judicial determination,” police added.
 
"
"Neighbours heard cries, kin knew 27-year-old was raping woman",2018-09-05T05:44:06+05:30,"MUMBAI: The sexual assault case of a 27-year-old engineer by an   resident has got murkier with the police coming to know that the accused's mother and stepbrother were in the house when he confined the woman and abused her for two months. It was the mother of the accused, Sayyed Hussain alias Seroj Khan (27), who helped the woman escape on August 25 and now, the Oshiwara police is considering making her a witness. 

 A source said that the mother decided to help the survivor as neighbours had started inquiring about the presence of a woman in the house and screams being heard from the flat. Though she initially denied it, some building children spotted the woman, said the police.
 
 The police said they have found that Khan would stay at home and stepped out only rarely. ""He had been threatening his mother and stepbrother too and hence, the duo never interfered in his activities,"" said an officer. TOI visited Khan's house on Tuesday and tried to speak to his mother, who opened the door. But said she will provide whatever details she has to the police. 
 
 The survivor told the police that Khan took away her mobile and she was allowed to speak to her mother only on the speaker phone in his presence. She said Khan made her sign a suicide note and five blank papers. 
 
 She told the police that she found an opportunity to escape a day after Khan's pet cat jumped out of his first-floor flat in Millat Nagar and hit a biker. Khan rushed out with his stebrother and took the feline to a vet, who gave her painkillers and asked to get a scan done to check for fractures, the woman mentioned in her FIR.
 
  ""On August 25, when the Khan and his stepbrother took the cat for a scan, I requested his mother to let me go as my mother was unwell. She agreed and dropped me off at a bus stop in Andheri on a scooter. I went to the station and later in the night, I took a bus to Pune. I called up my sister and narrated the entire ordeal to her,"" she said. 
 
 A complaint was registered in Pune on September 1 and Khan was arrested on Monday. He has been sent to police custody till September 10. The police said that they need Khan's custody interrogate him and recover the mobile which he used to record the sexual assaults on the survivor from June 16 to August 24 at his flat. He also tonsured her when she refused to marry him, said the police.
 
 The woman said that she and Khan met through a social networking app in March 2018 and her ordeal began a day after she went to his house on June 15 for Eid celebrations . 
 
 
"
Chargesheet in child rape case to be filed this week,2018-09-05T06:01:13+05:30,"CHENNAI: Police are set to submit before the Mahila Court this week the   in the case of a 11-year-old girl sexually assaulted by at least 17 people at an apartment complex over seven months.

 Investigators have collected more than 70 pieces of evidence and as many witnesses to build a fool-proof case against the 17 suspects, who were employed as security guards, electricians and gardeners at the building in  . Police commissioner A K Viswanathan paid special attention to the case and held regular review meetings with the investigating team members.
 
 A police officer said they would hold discussions with N Ramesh, former central government senior standing counsel for Madras high court who was on August 23 appointed to represent the state in the case, before submitting the chargesheet.
 
 The case had come to light when the victim’s elder sister noticed lift operator Ravikumar, one of the arrested men, touch the younger girl inappropriately and there was no reaction. After the girl revealed about other incidents, the family approached the Secretariat Colony police who forwarded the complaint to the Ayanavaram all-woman police.
 
 Investigations revealed that it was 60-year-old Ravikumar who started the assault after sedating the girl, and later brought in the others. Ravikumar had worked at a maternity hospital and knew how to administer sedatives.
 
 
"
"Bhopal: Class 8 student abducted from home, raped in Saket Nagar",2018-09-05T09:09:23+05:30,"BHOPAL: A 13-year-old girl was allegedly abducted by three youth from her house in   locality in the state capital during the wee hours of August 28. The minor was molested by the accused for more than an hour in a moving car along the roads of Arera Colony.

 
 After molestation, one of the accused allegedly raped her after stopping the car at an isolated place in   Nagar.
 
 SHO Habibganj Virendra Singh Chouhan said all the accused identified as Rohit Khangar, 18, resident of 1100 Quarters, Anmol Singh Chauhan, 23, a resident of Bharat Nagar and Naved Khan, 22, a resident of Habibganj Railway Colony have been arrested on Monday after the complaint by the girl’s family.
 
 Chouhan said Anmol runs a pesticide shop in Bharat Nagar and his father   Chauhan, is the   of Bakhtara village. Naved’s father was a railway officer who died and he lives along with his mother. The family survives on pension amount from the government.
 
 The SHO said the survivor, who lives near Rohit’s house knew him for the past six years, is a student of Class 8 at a private school. Her father is a government officer and her brother studies at a college in  . After the incident, the trio threatened her not to disclose about it to anybody.
 
 
 
 
 The terrified girl kept mum and later narrated the incident to her brother. The family members then reported the matter to Habibganj police on Monday after which a case on charges of abduction and molestation under relevant sections of IPC and POCSO Act was registered against all the three accused. A case on charges of rape was registered against Naved also.
 
 The survivor in her FIR narrating the ordeal said Rohit had sent her a message on Instagram while she was asleep at around 3 am on August 28 asking her to come out of the house.
 
 “When I refused to do so, I got another message from his friend Anmol in which he threatened to kill my parents if I did not obey their instructions ,” she said.
 
 When she came out of the house, Anmol, who was standing in the courtyard of her house, forcefully lifted her and took outside where Rohit and Naved were waiting in a car. “They asked to sit in the car. Naved drove the car and Anmol sat beside me in the rear seat. He started molesting me. Later Rohit also molested me,” she told police. After a while, Rohit and Anmol alighted from the car and she pleaded Naved to leave her at home. “Naved took me to an isolated place in Saket Nagar and raped me after stopping the car,” the Class 8 student told police.
 
 She cried for help but in vain. “At around 5 am Naved left me at my house and threatened of dire consequences on revealing the incident to anyone.”
 
"
"Locals stage protest at SP office, demand arrest of rape accused",2018-09-07T22:41:00+05:30,"Bijnor: A group of residents of a village under Bijnor city police station staged a protest at the office of superintendent of police (SP), demanding immediate arrest of an accused who allegedly raped a 12-year-old girl on Wednesday. Her family said though local police had registered an FIR, they had failed to arrest the accused. 

 According to sources, the girl was returning home from the field after collecting fodder when Mohammad Dilshad, 32, accosted her. The father of five children allegedly picked her up and took her to a sugarcane field where he raped her.
 
 On Friday, villagers led by BKU national vice-president Dharamveer Singh and state unit general secretary reached the   and staged a protest against laxity on the part of police.
 
 A police force was rushed to the SP office to control the situation. Station house officer Bijendra Rana, assured villagers that the accused would be arrested soon. Raids were on to nab him.
 
 Later, SP Umesh Singh met a delegation of the villagers and assured them that action would be taken in this connection.
 
 
"
Nagaon rape prime accused convicted,2018-09-05T10:50:08+05:30,"GUWAHATI: A lower court in Nagaon on Monday convicted   for the rape and murder of a 13-year-old girl at Batadrawa in   on March 23. Hussain was the prime accused in the incident where the victim had been gangraped by him, along with two other minors, before being set on fire at her home at Nagaon's Lalung gaon area, some 116 km from Guwahati. 

 The girl later succumbed to her injuries at Gauhati Medical College Hospital. In her dying statement, the victim had identified the culprits. The incident triggered shock across the country and the state government faced severe criticism for the rising rate of crimes against women and children in the state.
 
 A month after the incident,   Police had filed a 158-page chargesheet in the case against eight people. Police accused Hussain and two minors of gangraping the victim and five others of harbouring Hussain. The two minors are being tried in a juvenile justice board court. All the three were slapped with charges of gangrape, murder and trespassing under various sections of IPC as well as Pocso Act.
 
 The investigating team has added 43 supporting documents in forms of statements, seizure lists and other medical reports with the chargesheet. Several forensic reports, corroborated from top level labs from New Delhi, were also attached.
 
 The quantum of punishment for Hussain will be ordered on September 7. The court however acquitted the others accused in the case for lack of enough evidence.
 
 
"
Two youths on campaign trail to break silence on rape,2018-09-07T13:26:19+05:30,"MUZAFFARNAGAR: Distubed by rising cases of   in the state,   from   have embarked on a journey on their motorcycles to campaign against public apathy and silence against the crime. They arrived in   on Thursday. 

 Carrying a banner, ‘Do not stay quiet if raped in 21st century. Campaign for Rape Free India’, Anubhav Bhalla, 22, and Ashish Kumar, 23, said they aim to cover all 75 districts of Uttar Pradesh. The two students started on their journey from Saharanpur a few days ago and plan to cover some 7,000 km. 
 
 After stopping at various places in neighbouring Shamli district, they arrived in Muzaffarnagar. Halting at Shiv Chowk and Main Market in Muzaffarnagar, they held up their banner. Soon, a crowd of curious onlookers gathered and the youths addressed them about rising cases of rape in the state and urged people to stand up and speak out against the culprits so that they can be brought to justice.
 
 Later, they went to the collectorate and met with the people and mediapersons. 
 
 Speaking with TOI, Anubhav Bhalla said, “We have launched this campaign, ‘Chuppi Todo’ (break your silence), to make aware people speak out against rape. We urge every Indian to stand up for the victims and survivors. The time has come to stand up together against this scourge on society. After we cover all 75 districts, we will travel across the country to spread the message.”
 
 Last year, two girls from Bihar cycled all the way to Muzaffarnagar, covering 22,000 km, to promote ‘Ideal Citizen Community’.
 
 
"
Minor boy among two held for raping class X girl,2018-09-05T12:24:32+05:30,"VADODARA : A minor boy was detained and his friend was arrested on Monday for allegedly raping a 16-year-old class X girl near Zand village in Bodeli taluka on August 30. The crime came to light on September 2 when the girl and her friend consumed  . A FIR was registered under sections of  , criminal intimidation, abetment and Protection of Children from Sexual Offences (POCSO) Act at Bodeli police station.

 The girl and her friend were walking towards their school when her friend’s cousin and his friend approached them. They informed the two girls that they were going to Zand Hanuman Temple and asked them join them. The rape survivor went with the minor on his bike while her friend rode pillion with the other accused identified as Jitendra.
 
 The girl told the police that on their way Jitendra and her friend sped away, while the boy took the girl in a forest where he allegedly raped her at knife point. Later both the girls were dropped at their villages and two days later both of them consumed pesticide. 
 
 While the 16-year-old girl claimed that she consumed pesticide because she was raped, her friend told the police that she did not have any reason to consume pesticide.
 
 “The other girl has said that she was not raped therefore the FIR was registered on the basis of the complaint given by the 16-year-old girl,” said a police official.
 
 Cops said that Jitendra was also booked as he abetted the crime. Both of them were sent to judicial custody by the police on Tuesday.
 
 
"
